,startup1,startup2,startup3,startup4,startup5,startup6,startup7,startup8,startup9,startup10,startup11,startup12,startup13,startup14,startup15,startup16,startup17,startup18,startup19,startup20,startup21,startup22,startup23,startup24,startup25,startup26,startup27,startup28,startup29,startup30,startup31,startup32,startup33,startup34,startup35,startup36,startup37,startup38,startup39,startup40,startup41,startup42,startup43,startup44,startup45,startup46,startup47,startup48,startup49,startup50
Innovation,2,3,2,4,2.5,2.5,3,3,3,2.5,3.5,3.5,4,2.5,4,3,4.5,3,2.5,4.5,4.5,3.5,4.5,2.5,3,3.5,2.5,3,4,3,3.5,3.5,3,3.5,3.5,3,3.5,4,3.5,4,3.5,2.5,3,3.5,3.5,4.5,3,3.5,4,3
Market potential,2,2.5,3,3,3.5,2.5,2,2.5,2.5,2.5,3,3.5,3.5,3,2.5,3.5,1,3.5,3,3,3.5,2,3.5,2,3.5,3.5,3.5,2.5,3.5,2.5,2.5,2.5,3,3,3,2.5,3.5,4,3.5,3.5,3,2,3,3,3,3.5,2.5,3.5,3.5,2.5
Galileo relevance,3,2.5,3,2.5,3.5,3,2.5,2,2.5,2.5,4,3,4,3.5,3.5,3.5,3,2,3.5,4,3,3,4,3,3.5,3.5,3.5,3,4,3,3,1.5,2.5,3.5,2.5,2.5,4,3.5,4,2,4,1.5,3.5,3,3,3.5,3.5,3.5,4,3
Viability,2,3,2,3,3.5,2,1,2,2.5,2,1.5,3,3.5,3,1.5,3.5,1,3.5,2,3.5,3,3,4,2,3.5,3,3.5,2,3.5,3,2,2,2.5,2,3.5,3,3,3,3,4,4,2,2.5,2.5,3.5,4,2.5,3,3.5,3
Feasiblity,3.5,3.5,3.5,3.5,3.5,3,2.5,3,4,3,3.5,3.5,4,3,3,4,2,4,3.5,3,3.5,3.5,4,2,4,3.5,3,3,3,3,3,3,3,2.5,4,3,4,3,4,4.5,3.5,3,2.5,3,3.5,4,4,2.5,4.5,3.5
Impact,2.5,3.5,3.5,2,3.5,2.5,1.5,2.5,2.5,2,2,3.5,3.5,2.5,2,3,1,2.5,2,3.5,3,3,3.5,2.5,3,4,3,3.5,3,3.5,3.5,3.5,3,2.5,2.5,2,3,5,3,5,3.5,2,2,3,3.5,4,2.5,3.5,3,2.5
Presentation,3,3.5,2.5,3.5,3.5,2.5,1.5,2.5,3.5,3.5,3.5,4,4,4,3,4.5,3.5,3,2,3.5,3.5,3,4.5,2.5,3.5,2.5,3.5,3.5,4,3.5,3,3.5,3,2,3,3,3.5,3.5,4,4.5,4,3.5,3,3,4.5,4,2.5,3.5,4.5,3
TOTAL 1,18.0,21.5,19.5,21.5,23.5,18.0,14.0,17.5,20.5,18.0,21.0,24.0,26.5,21.5,19.5,25.0,16.0,21.5,18.5,25.0,24.0,21.0,28.0,16.5,24.0,23.5,22.5,20.5,25.0,21.5,20.5,19.5,20.0,19.0,22.0,19.0,24.5,26.0,25.0,27.5,25.5,16.5,19.5,21.0,24.5,27.5,20.5,23.0,27.0,20.5
