,startup1,startup2,startup3,startup4,startup5,startup6,startup7,startup8,startup9,startup10,startup11,startup12,startup13,startup14,startup15,startup16,startup17,startup18,startup19,startup20,startup21,startup22,startup23,startup24,startup25,startup26,startup27,startup28,startup29,startup30,startup31,startup32,startup33,startup34,startup35,startup36,startup37,startup38,startup39,startup40,startup41,startup42,startup43,startup44,startup45,startup46,startup47,startup48,startup49,startup50
Innovation,2,3,2,4,2.5,2.5,3,3,3,2.5,3.5,2,4.5,2,3.5,2.5,4.5,3,2.5,4.5,4,3,3.5,2.5,3,2,3,2,3.5,2,3,3,4,3.5,3.5,3,2,4,3.5,4,3.5,2.5,3.5,3,3,4,3.5,3.5,3,2
Market potential,2,2.5,3,3,3.5,2.5,2,2.5,2.5,2.5,2.5,3,3.5,3,2.5,3.5,1.5,3.5,3,2.5,2.5,2,3,2,2.5,2.5,3,2.5,3,2,2,3,2.5,2,2,3,2,4,3.5,3,3,2,3.5,2,3,2.5,2,2,3,2
Galileo relevance,2.5,2.5,3,2.5,3.5,2.5,2.5,2,2.5,2.5,4,2.5,4,2.5,3.5,3.5,3,2,3.5,4,2,2.5,3,3,3,3,3,2.5,3,2.5,3.5,3,3.5,2.5,2,3.5,2.5,3.5,4,4,4,1.5,3.5,3.5,3,3.5,2.5,2,3.5,2.5
Viability,2,2.5,2,2.5,3,2,1,1.5,2.5,2,1,3.5,3.5,2.5,1.5,3.5,1.5,3.5,2,2,2,2,3,2.5,2,2,2.5,2.5,2,2,2,2.5,3,1,2,2.5,2,2,3,1.5,4,2.5,2,2,2.5,3,1,2,2.5,2
Feasiblity,3,3.5,3.5,3.5,3.5,3,2.5,3,4,3,3.5,4,4,3,2.5,4,2.5,4,3.5,3,2.5,2,3,2.5,3,3,2,2,3,2,2.5,3.5,3.5,3,2.5,3.5,2,3,4,2.5,3.5,2,4,2.5,3.5,3.5,4,2.5,3.5,2
Impact,2.5,3.5,3.5,2,3,2,1.5,2.5,2.5,2.5,2,4,3.5,2.5,2,3,1,2.5,2,3.5,3,2.5,2.5,2,2.5,3,3,2,3,3,3,2.5,2.5,2,3.5,3.5,2.5,5,3,3,3.5,2,2.5,3,2.5,2.5,2,3.5,3.5,2.5
Presentation,1.5,3,2.5,3,3,2.5,1.5,2,3.5,3.5,3,3.5,3.5,3,3,4.5,4,3,2,2.5,3,2.5,4,3,2,2,3,2.5,4,2.5,3,3,3.5,2.5,3,3.5,2.5,3.5,4,3,4.5,3.5,2,3,3,3.5,2.5,3,3.5,2.5
TOTAL 1,15.5,20.5,19.5,20.5,22.0,17.0,14.0,16.5,20.5,18.5,19.5,22.5,26.5,18.5,18.5,24.5,18.0,21.5,18.5,22.0,19.0,16.5,22.0,17.5,18.0,17.5,19.5,16.0,21.5,16.0,19.0,20.5,22.5,16.5,18.5,22.5,15.5,25.0,25.0,21.0,26.0,16.0,21.0,19.0,20.5,22.5,17.5,18.5,22.5,15.5
